Wall time,Step,Value
1583793413.7218368,5530,3.8796443939208984
1583793422.3738642,5540,3.8911056518554688
1583793439.8274884,5560,3.8893039226531982
1583793457.0888972,5580,3.9001498222351074
1583793474.348418,5600,3.8957958221435547
1583793483.0140147,5610,3.8993098735809326
1583793509.0673378,5640,3.896805763244629
1583793517.8091557,5650,3.9012913703918457
1583793526.5259914,5660,3.890017032623291
1583793543.8754182,5680,3.895834445953369
1583793552.5996675,5690,3.9079298973083496
1583793561.1992779,5700,3.9132473468780518
1583793681.4119775,5720,3.5533530712127686
1583793690.0065575,5730,3.6630964279174805
1583793698.862443,5740,3.7520298957824707
1583793707.5556931,5750,3.7229411602020264
1583793724.9132795,5770,3.6998367309570312
1583793733.5799198,5780,3.719622850418091
1583793742.24082,5790,3.7583258152008057
1583793750.8648293,5800,3.757284164428711
1583793759.627344,5810,3.7432758808135986
1583793768.2577384,5820,3.7815792560577393
1583793777.0226033,5830,3.7617671489715576
1583793785.7870579,5840,3.7505977153778076
1583793794.5437207,5850,3.7569031715393066
1583793811.8077235,5870,3.753314256668091
1583793820.4711282,5880,3.7846438884735107
1583793829.1661136,5890,3.7957518100738525
1583793855.2905378,5920,3.8122358322143555
1583793863.9568572,5930,3.8247461318969727
1583793872.5803418,5940,3.8349668979644775
1583793889.8980703,5960,3.851687431335449
1583793899.936587,5970,3.844381093978882
1583793909.5057237,5980,3.847522020339966
1583793918.4923468,5990,3.84245228767395
1583793937.2217531,6010,3.8427207469940186
1583793955.9639308,6030,3.8312928676605225
1583793964.736111,6040,3.8434548377990723
1583793973.375271,6050,3.8460559844970703
1583794101.157252,6070,4.345938205718994
1583794118.703086,6090,3.9750843048095703
1583794137.8622098,6110,3.813631534576416
1583794146.610916,6120,3.8233706951141357
1583794155.200758,6130,3.845994472503662
1583794181.9197721,6160,3.8428425788879395
1583794217.6508267,6200,3.8219549655914307
1583794226.8994064,6210,3.8233160972595215
1583794237.5781827,6220,3.818979501724243
1583794248.5525844,6230,3.8203771114349365
1583794259.5130982,6240,3.8297054767608643
1583794279.8791575,6260,3.8529210090637207
1583794289.500595,6270,3.844090223312378
1583794319.5610907,6300,3.838275671005249
1583794328.282602,6310,3.8339571952819824
1583794345.5538855,6330,3.812783718109131
1583794362.7468455,6350,3.800663709640503
1583794371.3245509,6360,3.8027451038360596
1583794397.5324368,6390,3.794426441192627
1583794416.3206105,6410,3.7933027744293213
1583794425.7579546,6420,3.790064811706543
1583794548.8890147,6430,4.248591899871826
1583794557.5884657,6440,3.7500803470611572
1583794566.8491192,6450,3.708465337753296
1583794576.153372,6460,3.75864315032959
1583794585.7735415,6470,3.7328174114227295
1583794594.7694411,6480,3.7169294357299805
1583794603.4819613,6490,3.7085540294647217
1583794612.13319,6500,3.7025070190429688
1583794620.8662534,6510,3.705078601837158
1583794629.5922842,6520,3.715039014816284
1583794638.2871099,6530,3.7168116569519043
1583794673.218084,6570,3.689385175704956
1583794681.8401093,6580,3.7080698013305664
1583794699.244613,6600,3.717320442199707
1583794716.77112,6620,3.715768814086914
1583794725.4523048,6630,3.7122249603271484
1583794734.0771086,6640,3.710451602935791
1583794742.8898413,6650,3.7093756198883057
1583794751.7193806,6660,3.7070822715759277
1583794760.5237215,6670,3.7147903442382812
1583794769.2883186,6680,3.713040351867676
1583794778.2494557,6690,3.7179629802703857
1583794786.958567,6700,3.71053147315979
1583794804.494693,6720,3.713266611099243
1583794813.316229,6730,3.7226855754852295
1583794822.0429478,6740,3.719804525375366
1583794830.7808473,6750,3.7228989601135254
1583794839.4032211,6760,3.7219247817993164
1583794857.125814,6780,3.718796968460083
1583794967.660066,6790,3.391291618347168
1583794976.4167802,6800,3.239321708679199
1583794985.2002602,6810,3.3598825931549072
1583794994.096451,6820,3.410338878631592
1583795003.0652864,6830,3.469849109649658
1583795011.8949366,6840,3.504399538040161
1583795020.5162666,6850,3.5509769916534424
1583795029.1072884,6860,3.5854740142822266
1583795037.8555176,6870,3.6102242469787598
1583795046.6475756,6880,3.5797665119171143
1583795055.2372222,6890,3.58808970451355
1583795064.2261667,6900,3.621776819229126
1583795090.517807,6930,3.626291036605835
1583795108.242668,6950,3.6313014030456543
1583795125.6985936,6970,3.633922815322876
1583795151.7988298,7000,3.6264119148254395
1583795160.4631593,7010,3.626833200454712
1583795169.3172371,7020,3.6414051055908203
1583795178.0430028,7030,3.6360509395599365
1583795186.7471728,7040,3.6296751499176025
1583795195.3792946,7050,3.631660223007202
1583795203.9701047,7060,3.6285033226013184
1583795212.7979813,7070,3.6308579444885254
1583795221.824382,7080,3.634850025177002
1583795230.7337067,7090,3.636523723602295
1583795239.5126865,7100,3.6426446437835693
1583795248.5698383,7110,3.6391422748565674
1583795257.3966007,7120,3.6400535106658936
1583795387.8279588,7150,3.761401653289795
1583795396.5371318,7160,3.585113525390625
1583795405.2348452,7170,3.612993001937866
1583795422.664265,7190,3.5487184524536133
1583795431.3885276,7200,3.5328948497772217
1583795448.558864,7220,3.5617001056671143
1583795457.2069747,7230,3.569885015487671
1583795465.9692175,7240,3.5730133056640625
1583795474.8354177,7250,3.5882678031921387
1583795483.9835176,7260,3.5850722789764404
1583795494.4486904,7270,3.5970842838287354
1583795525.5241978,7300,3.595832347869873
1583795535.5502975,7310,3.5793209075927734
1583795545.5351746,7320,3.5806853771209717
1583795583.8104043,7360,3.56670880317688
1583795593.0181797,7370,3.5712358951568604
1583795610.4764328,7390,3.5663931369781494
1583795619.2411263,7400,3.566523313522339
1583795627.8072455,7410,3.5677759647369385
1583795636.5646017,7420,3.5692968368530273
1583795654.0492,7440,3.5674405097961426
1583795671.5980003,7460,3.5551750659942627
1583795680.4400134,7470,3.5564775466918945
1583795689.3329332,7480,3.564554452896118
1583795822.9922414,7500,3.4576051235198975
1583795832.2905169,7510,3.568133592605591
1583795840.9161558,7520,3.634998321533203
1583795850.2629702,7530,3.631723403930664
1583795859.4418151,7540,3.5642571449279785
1583795868.4450762,7550,3.575796127319336
1583795877.671323,7560,3.549262046813965
1583795887.516173,7570,3.5393335819244385
1583795915.0614457,7600,3.5263898372650146
